drug_brand,drug_generic,active_ingredient,fda_application_number,modality,original_approval_date,clock_year,orphan_status,ira_cycle,mfp_usd,part_d_spend_latest_usd,part_b_spend_latest_usd,spend_year,source_urls,indication_event_date,years_after_launch,indication_text,is_after_clock,event_app_number
Eliquis,apixaban,APIXABAN,NDA202155,small molecule,2012-12-28,9.0,none,1.0,231.0,18273451967.0,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2014-03-13,1.2,"1 INDICATIONS AND USAGE ELIQUIS is a factor Xa inhibitor indicated: to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation. (1.1) for the prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE), in patients who have undergone hip or knee replacement surgery. (1.2) for the treatment of DVT and PE, and for the reduction in the risk of recurrent DVT and PE following initial therapy. (1.3 , 1.4 , 1.5) 1.1 Reduction of Risk of Stroke and Systemic Embolism in Nonvalvular Atrial Fibrillation ELIQUIS is indicated to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation. 1.2 Prophylaxis of Deep Vein Thrombosis Following Hip or Knee Replacement Surgery ELIQUIS is indicated for the prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE), in patients who have undergone hip or knee replacement surgery. 1.3 Treatment of Deep Vein Thrombosis ELIQUIS is indicated for the treatment of DVT. 1.4 Treatment of Pulmonary Embolism ELIQUIS is indicated for the treatment of PE. 1.5 Reduction in the Risk of Recurrence of DVT and PE ELIQUIS is indicated to reduce t",False,NDA202155
Eliquis,apixaban,APIXABAN,NDA202155,small molecule,2012-12-28,9.0,none,1.0,231.0,18273451967.0,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2014-08-21,1.65,"1 INDICATIONS AND USAGE ELIQUIS is a factor Xa inhibitor indicated: to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation. (1.1) for the prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE), in patients who have undergone hip or knee replacement surgery. (1.2) for the treatment of DVT and PE, and for the reduction in the risk of recurrent DVT and PE following initial therapy. (1.3 , 1.4 , 1.5) 1.1 Reduction of Risk of Stroke and Systemic Embolism in Nonvalvular Atrial Fibrillation ELIQUIS is indicated to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation. 1.2 Prophylaxis of Deep Vein Thrombosis Following Hip or Knee Replacement Surgery ELIQUIS is indicated for the prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE), in patients who have undergone hip or knee replacement surgery. 1.3 Treatment of Deep Vein Thrombosis ELIQUIS is indicated for the treatment of DVT. 1.4 Treatment of Pulmonary Embolism ELIQUIS is indicated for the treatment of PE. 1.5 Reduction in the Risk of Recurrence of DVT and PE ELIQUIS is indicated to reduce t",False,NDA202155
Eliquis,apixaban,APIXABAN,NDA202155,small molecule,2012-12-28,9.0,none,1.0,231.0,18273451967.0,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2025-04-17,12.3,"1 INDICATIONS AND USAGE ELIQUIS is a factor Xa inhibitor indicated: to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation. (1.1) for the prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE), in patients who have undergone hip or knee replacement surgery. (1.2) for the treatment of DVT and PE, and for the reduction in the risk of recurrent DVT and PE following initial therapy. (1.3 , 1.4 , 1.5) 1.1 Reduction of Risk of Stroke and Systemic Embolism in Nonvalvular Atrial Fibrillation ELIQUIS is indicated to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation. 1.2 Prophylaxis of Deep Vein Thrombosis Following Hip or Knee Replacement Surgery ELIQUIS is indicated for the prophylaxis of deep vein thrombosis (DVT), which may lead to pulmonary embolism (PE), in patients who have undergone hip or knee replacement surgery. 1.3 Treatment of Deep Vein Thrombosis ELIQUIS is indicated for the treatment of DVT. 1.4 Treatment of Pulmonary Embolism ELIQUIS is indicated for the treatment of PE. 1.5 Reduction in the Risk of Recurrence of DVT and PE ELIQUIS is indicated to reduce t",True,NDA202155
Jardiance,empagliflozin,EMPAGLIFLOZIN,NDA204629,small molecule,2014-08-01,9.0,none,1.0,197.0,8839935063.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2015-06-26,0.9,1 INDICATIONS AND USAGE JARDIANCE is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. to reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. JARDIANCE is a sodium-glucose co-transporter 2 (SGLT2) inhibitor indicated: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. ( 1 ) To reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. ( 1 ) As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: Not recommended in patients with type 1 diabetes mellitus. It may increase the risk of diabetic ketoacidosis in these patients. ( 1 ) Not recommended for use to improve glycemic control in adults with type 2 diabetes mellitus with an eGFR less than 30 mL/min/1.73 m 2 ( 1 ) Limitations of Use JARDIANCE is not recommended in patients with type 1 diabetes mellitu,False,NDA204629
Jardiance,empagliflozin,EMPAGLIFLOZIN,NDA204629,small molecule,2014-08-01,9.0,none,1.0,197.0,8839935063.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2016-03-18,1.63,1 INDICATIONS AND USAGE JARDIANCE is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. to reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. JARDIANCE is a sodium-glucose co-transporter 2 (SGLT2) inhibitor indicated: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. ( 1 ) To reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. ( 1 ) As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: Not recommended in patients with type 1 diabetes mellitus. It may increase the risk of diabetic ketoacidosis in these patients. ( 1 ) Not recommended for use to improve glycemic control in adults with type 2 diabetes mellitus with an eGFR less than 30 mL/min/1.73 m 2 ( 1 ) Limitations of Use JARDIANCE is not recommended in patients with type 1 diabetes mellitu,False,NDA204629
Jardiance,empagliflozin,EMPAGLIFLOZIN,NDA204629,small molecule,2014-08-01,9.0,none,1.0,197.0,8839935063.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2016-07-08,1.94,1 INDICATIONS AND USAGE JARDIANCE is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. to reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. JARDIANCE is a sodium-glucose co-transporter 2 (SGLT2) inhibitor indicated: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. ( 1 ) To reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. ( 1 ) As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: Not recommended in patients with type 1 diabetes mellitus. It may increase the risk of diabetic ketoacidosis in these patients. ( 1 ) Not recommended for use to improve glycemic control in adults with type 2 diabetes mellitus with an eGFR less than 30 mL/min/1.73 m 2 ( 1 ) Limitations of Use JARDIANCE is not recommended in patients with type 1 diabetes mellitu,False,NDA206111
Jardiance,empagliflozin,EMPAGLIFLOZIN,NDA204629,small molecule,2014-08-01,9.0,none,1.0,197.0,8839935063.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2016-12-02,2.34,1 INDICATIONS AND USAGE JARDIANCE is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. to reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. JARDIANCE is a sodium-glucose co-transporter 2 (SGLT2) inhibitor indicated: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. ( 1 ) To reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. ( 1 ) As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: Not recommended in patients with type 1 diabetes mellitus. It may increase the risk of diabetic ketoacidosis in these patients. ( 1 ) Not recommended for use to improve glycemic control in adults with type 2 diabetes mellitus with an eGFR less than 30 mL/min/1.73 m 2 ( 1 ) Limitations of Use JARDIANCE is not recommended in patients with type 1 diabetes mellitu,False,NDA204629
Jardiance,empagliflozin,EMPAGLIFLOZIN,NDA204629,small molecule,2014-08-01,9.0,none,1.0,197.0,8839935063.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2016-12-23,2.4,1 INDICATIONS AND USAGE JARDIANCE is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. to reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. JARDIANCE is a sodium-glucose co-transporter 2 (SGLT2) inhibitor indicated: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. ( 1 ) To reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. ( 1 ) As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: Not recommended in patients with type 1 diabetes mellitus. It may increase the risk of diabetic ketoacidosis in these patients. ( 1 ) Not recommended for use to improve glycemic control in adults with type 2 diabetes mellitus with an eGFR less than 30 mL/min/1.73 m 2 ( 1 ) Limitations of Use JARDIANCE is not recommended in patients with type 1 diabetes mellitu,False,NDA208658
Jardiance,empagliflozin,EMPAGLIFLOZIN,NDA204629,small molecule,2014-08-01,9.0,none,1.0,197.0,8839935063.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2019-07-03,4.92,1 INDICATIONS AND USAGE JARDIANCE is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. to reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. JARDIANCE is a sodium-glucose co-transporter 2 (SGLT2) inhibitor indicated: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. ( 1 ) To reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. ( 1 ) As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: Not recommended in patients with type 1 diabetes mellitus. It may increase the risk of diabetic ketoacidosis in these patients. ( 1 ) Not recommended for use to improve glycemic control in adults with type 2 diabetes mellitus with an eGFR less than 30 mL/min/1.73 m 2 ( 1 ) Limitations of Use JARDIANCE is not recommended in patients with type 1 diabetes mellitu,False,NDA206073
Jardiance,empagliflozin,EMPAGLIFLOZIN,NDA204629,small molecule,2014-08-01,9.0,none,1.0,197.0,8839935063.3,,2023,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json,2020-03-30,5.66,1 INDICATIONS AND USAGE JARDIANCE is indicated: to reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. to reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. JARDIANCE is a sodium-glucose co-transporter 2 (SGLT2) inhibitor indicated: To reduce the risk of cardiovascular death and hospitalization for heart failure in adults with heart failure. ( 1 ) To reduce the risk of cardiovascular death in adults with type 2 diabetes mellitus and established cardiovascular disease. ( 1 ) As an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ) Limitations of Use: Not recommended in patients with type 1 diabetes mellitus. It may increase the risk of diabetic ketoacidosis in these patients. ( 1 ) Not recommended for use to improve glycemic control in adults with type 2 diabetes mellitus with an eGFR less than 30 mL/min/1.73 m 2 ( 1 ) Limitations of Use JARDIANCE is not recommended in patients with type 1 diabetes mellitu,False,NDA206073
