drug_brand,drug_generic,active_ingredient,fda_application_number,all_app_numbers,modality,clock_year,original_approval_date,ira_cycle,ira_effective_year,mfp_usd,in_negotiated,in_top_spend,cohort_source,part,orphan_status,serial_orphan_candidate,n_orphan_indications_approved,part_d_spend_latest_usd,part_b_spend_latest_usd,total_medicare_spend_latest_usd,spend_year,n_indications_total,n_indications_after_clock,n_indications_in_window,window_lo_yr,window_hi_yr,last_indication_year,source_urls
Eliquis,apixaban,APIXABAN,NDA202155,NDA202155; NDA220073,small molecule,9.0,2012-12-28,1.0,2026.0,231.0,True,True,IRA Cycle 1,Part D,none,False,0,18273451967.0,,18273451967.0,2023,3,1,0,7.0,9.0,2025.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Jardiance,empagliflozin,EMPAGLIFLOZIN,NDA204629,NDA204629,small molecule,9.0,2014-08-01,1.0,2026.0,197.0,True,True,IRA Cycle 1,Part D,none,False,0,8839935063.3,,8839935063.3,2023,7,1,3,7.0,9.0,2023.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Xarelto,rivaroxaban,RIVAROXABAN,NDA022406,NDA022406; NDA202439; NDA215859,small molecule,9.0,2011-07-01,1.0,2026.0,197.0,True,True,IRA Cycle 1,Part D,none,False,0,6309246822.6,,6309246822.6,2023,8,1,3,7.0,9.0,2021.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Januvia,sitagliptin,SITAGLIPTIN,NDA021995,NDA021995; NDA211566; NDA219122,small molecule,9.0,2006-10-16,1.0,2026.0,113.0,True,True,IRA Cycle 1,Part D,orphan_approved,False,1,4090836820.7,,4090836820.7,2023,5,2,0,7.0,9.0,2020.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Farxiga,dapagliflozin,DAPAGLIFLOZIN,NDA202293,NDA202293,small molecule,9.0,2014-01-08,1.0,2026.0,178.5,True,True,IRA Cycle 1,Part D,none,False,0,4342182307.3,,4342182307.3,2023,8,2,1,7.0,9.0,2024.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Entresto,sacubitril/valsartan,SACUBITRIL; VALSARTAN,NDA207620,NDA207620; NDA218591,small molecule,9.0,2015-07-07,1.0,2026.0,295.0,True,True,IRA Cycle 1,Part D,none,False,0,3430441590.4,,3430441590.4,2023,3,0,1,7.0,9.0,2024.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Enbrel,etanercept,ETANERCEPT,BLA103795,BLA103795,biologic,13.0,1998-11-02,1.0,2026.0,2355.0,True,True,IRA Cycle 1,Part D,orphan_approved,True,2,2951284786.29,,2951284786.29,2023,17,4,0,11.0,13.0,2023.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Imbruvica,ibrutinib,IBRUTINIB,NDA205552,NDA205552; NDA210563; NDA217003,small molecule,9.0,2013-11-13,1.0,2026.0,9319.0,True,True,IRA Cycle 1,Part D,orphan_approved,True,13,2371893291.7,,2371893291.7,2023,13,1,2,7.0,9.0,2023.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Stelara,ustekinumab,USTEKINUMAB,BLA125261,BLA125261; BLA761044,biologic,13.0,2009-09-25,1.0,2026.0,4695.0,True,True,IRA Cycle 1,Part D,orphan_approved,True,6,2987778599.9,27614584.61,3015393184.51,2023,9,1,1,11.0,13.0,2026.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
NovoLog,insulin aspart,INSULIN ASPART,BLA020986,BLA020986; BLA208751,biologic,13.0,2000-06-07,1.0,2026.0,119.0,True,True,IRA Cycle 1,Part D,none,False,0,2536954436.14,711364.56,2537665800.7,2023,9,3,0,11.0,13.0,2019.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-initial-price-applicability-year-2026.pdf; https://api.fda.gov/drug/drugsfda.json
Ozempic,semaglutide,SEMAGLUTIDE,NDA209637,NDA209637; NDA213051; NDA213182; NDA215256; NDA218316,small molecule,9.0,2017-12-05,2.0,2027.0,274.0,True,True,IRA Cycle 2,Part D,none,False,0,10860155151.99,,10860155151.99,2023,12,0,6,7.0,9.0,2026.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Trelegy Ellipta,fluticasone furoate/umeclidinium/vilanterol,FLUTICASONE FUROATE; UMECLIDINIUM; VILANTEROL,NDA209482,NDA209482,small molecule,9.0,2017-09-18,2.0,2027.0,175.0,True,True,IRA Cycle 2,Part D,none,False,0,4455884009.7,,4455884009.7,2023,2,0,0,7.0,9.0,2020.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Xtandi,enzalutamide,ENZALUTAMIDE,NDA203415,NDA203415; NDA213674,small molecule,9.0,2012-08-31,2.0,2027.0,7004.0,True,True,IRA Cycle 2,Part D,none,False,0,2601510278.2,,2601510278.2,2023,9,2,2,7.0,9.0,2023.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Pomalyst,pomalidomide,POMALIDOMIDE,NDA204026,NDA204026,small molecule,9.0,2013-02-08,2.0,2027.0,8650.0,True,True,IRA Cycle 2,Part D,orphan_approved,True,4,1709288465.2,,1709288465.2,2023,3,0,2,7.0,9.0,2020.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Ofev,nintedanib,NINTEDANIB,NDA205832,NDA205832,small molecule,9.0,2014-10-15,2.0,2027.0,6350.0,True,True,IRA Cycle 2,Part D,orphan_approved,True,3,1837061150.2,,1837061150.2,2023,2,0,0,7.0,9.0,2020.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Ibrance,palbociclib,PALBOCICLIB,NDA207103,NDA207103; NDA212436,small molecule,9.0,2015-02-03,2.0,2027.0,7871.0,True,True,IRA Cycle 2,Part D,orphan_approved,False,1,2020903604.2,,2020903604.2,2023,9,2,2,7.0,9.0,2025.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Linzess,linaclotide,LINACLOTIDE,NDA202811,NDA202811,small molecule,9.0,2012-08-30,2.0,2027.0,136.0,True,True,IRA Cycle 2,Part D,none,False,0,1825245843.2,,1825245843.2,2023,5,3,1,7.0,9.0,2026.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Calquence,acalabrutinib,ACALABRUTINIB,NDA210259,NDA210259; NDA216387,small molecule,9.0,2017-10-31,2.0,2027.0,8600.0,True,True,IRA Cycle 2,Part D,orphan_approved,True,3,1346583009.9099998,,1346583009.9099998,2023,3,0,2,7.0,9.0,2026.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Austedo,deutetrabenazine,DEUTETRABENAZINE,NDA208082,NDA208082; NDA209885; NDA216354,small molecule,9.0,2017-04-03,2.0,2027.0,4093.0,True,True,IRA Cycle 2,Part D,orphan_approved,True,2,1216345856.42,,1216345856.42,2023,1,0,0,7.0,9.0,2021.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Breo Ellipta,fluticasone furoate/vilanterol,FLUTICASONE FUROATE; VILANTEROL,NDA204275,NDA204275,small molecule,9.0,2013-05-10,2.0,2027.0,67.0,True,True,IRA Cycle 2,Part D,none,False,0,1373600714.1,,1373600714.1,2023,3,1,0,7.0,9.0,2023.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Xifaxan,rifaximin,RIFAXIMIN,NDA021361,NDA021361; NDA022554,small molecule,9.0,2004-05-25,2.0,2027.0,1000.0,True,True,IRA Cycle 2,Part D,orphan_approved,True,2,1090110101.4,,1090110101.4,2023,1,1,0,7.0,9.0,2015.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Vraylar,cariprazine,CARIPRAZINE,NDA204370,NDA204370,small molecule,9.0,2015-09-17,2.0,2027.0,770.0,True,False,IRA Cycle 2,Part D,none,False,0,935653082.16,,935653082.16,2023,4,1,1,7.0,9.0,2025.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Tradjenta,linagliptin,LINAGLIPTIN,NDA201280,NDA201280,small molecule,9.0,2011-05-02,2.0,2027.0,78.0,True,True,IRA Cycle 2,Part D,none,False,0,1293567778.3,,1293567778.3,2023,6,1,2,7.0,9.0,2023.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
Janumet,sitagliptin/metformin,SITAGLIPTIN; METFORMIN,NDA022044,NDA022044; NDA202270; NDA216743; NDA216778,small molecule,9.0,2007-03-30,2.0,2027.0,80.0,True,False,IRA Cycle 2,Part D,orphan_approved,False,1,1191005379.56,,1191005379.56,2023,5,2,0,7.0,9.0,2020.0,https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://www.cms.gov/files/document/fact-sheet-negotiated-prices-ipay-2027.pdf; https://api.fda.gov/drug/drugsfda.json
